"total de dolares vendidos","promedio de dolares vendidos","ganancia total","ganacia promedio","gap promedio ","precio de compra promedio","precio de venta promedio","semana"
30951.3,4421.614285714286,14324.53669199998,2046.3623845714255,0.4629571428571419,19.711728571428573,20.174685714285715,2021-07-29 09:00:00
37390.77,5341.538571428571,17333.144053000004,2476.1634361428573,0.4645999999999998,19.596942857142857,20.061542857142857,2021-08-05 08:00:00
36747.27,5249.61,17291.444640999984,2470.206377285712,0.4707428571428573,19.7062,20.17694285714286,2021-08-12 09:00:00
14190.13,2027.1614285714286,6722.813851999989,960.4019788571412,0.4732285714285709,19.639757142857142,20.112985714285713,2021-08-19 08:00:00
36344.04,5192.005714285714,17489.840755000027,2498.548679285718,0.47961428571428605,19.994714285714284,20.474328571428572,2021-08-26 09:00:00
27180.429999999997,3882.9185714285713,12824.96548700001,1832.137926714287,0.47302857142857235,19.8406,20.31362857142857,2021-09-02 11:00:00
41840.44000000001,5977.205714285715,19790.63607899998,2827.233725571426,0.4726571428571421,19.633285714285716,20.105942857142857,2021-09-09 08:00:00
23232.6,3318.942857142857,10996.174698000028,1570.8820997142898,0.47265714285714366,19.607457142857143,20.080114285714288,2021-09-16 08:00:00
28538.789999999997,4076.97,13605.369040000018,1943.624148571431,0.4779285714285716,19.750342857142858,20.22827142857143,2021-09-23 13:00:00
39158.89000000001,5594.127142857144,18062.622431000003,2580.3746330000004,0.4723857142857142,19.947685714285715,20.42007142857143,2021-09-30 09:00:00
43835.229999999996,6262.175714285714,21700.208087,3100.0297267142855,0.495828571428572,20.199514285714283,20.695342857142858,2021-10-07 10:00:00
37504.36,5357.765714285714,18282.013305999993,2611.7161865714274,0.4936857142857138,20.355257142857145,20.848942857142855,2021-10-14 08:00:00
30572.86,4367.551428571429,14480.304756999998,2068.614965285714,0.4739285714285713,20.041342857142855,20.515271428571427,2021-10-21 09:00:00
44011.18,6287.311428571428,20824.984816999982,2974.9978309999974,0.4723999999999994,19.917242857142856,20.389642857142857,2021-10-28 08:00:00
36493.02,5213.288571428571,18472.33759500004,2638.9053707142916,0.5223571428571435,20.240714285714287,20.76307142857143,2021-11-04 09:00:00
39076.66,5582.38,24228.597107000012,3461.2281581428592,0.6267857142857142,20.037414285714288,20.6642,2021-11-11 11:00:00
44280.43,6325.7757142857145,27921.092060000035,3988.7274371428625,0.6308428571428573,20.163542857142858,20.794385714285713,2021-11-18 09:00:00
