"average(cantidad)","sum(cantidad)","average(gain)","sum(gain)","average(gap)","average(precio_compra)","average(precio_venta)","day"
535.1171428571428,3745.8199999999997,241.49836657142848,1690.4885659999993,0.4512999999999998,20.0334,20.4847,2022-02-19 08:00:00
1656.868,8284.34,746.9160944000016,3734.580472000008,0.450800000000001,20.0308,20.4816,2022-02-20 12:00:00
2245.372,11226.859999999999,1025.9104668000023,5129.552334000011,0.45690000000000097,20.0368,20.4937,2022-02-21 10:00:00
920.9175,3683.67,427.9503622499972,1711.801448999989,0.464699999999997,20.0313,20.496,2022-02-22 09:00:00
254.5975,1018.39,112.76123274999951,451.04493099999803,0.4428999999999981,20.0513,20.4942,2022-02-23 13:00:00
1679.3475,6717.39,744.4547467500013,2977.818987000005,0.4433000000000007,20.2848,20.7281,2022-02-24 08:00:00
611.6072727272726,6727.6799999999985,271.37014690909075,2985.0716159999984,0.44369999999999976,20.185100000000002,20.628800000000002,2022-02-25 09:00:00
1457.2883333333332,8743.73,646.5988334999996,3879.593000999998,0.44369999999999976,20.2106,20.654300000000003,2022-02-26 09:00:00
2643.73,15862.380000000001,1169.0574059999992,7014.344435999996,0.4421999999999997,20.239499999999996,20.681700000000003,2022-02-27 09:00:00
195.34666666666666,586.04,86.36276133333331,259.08828399999993,0.44209999999999994,20.2347,20.6768,2022-02-28 08:00:00
599.8212500000001,4798.570000000001,267.4003132500012,2139.2025060000096,0.445800000000002,20.3252,20.771,2022-03-01 08:00:00
1155.8385714285712,8090.869999999999,511.68973557142687,3581.828148999988,0.44269999999999854,20.3827,20.8254,2022-03-02 08:00:00
526.6966666666666,3160.18,235.01205266666724,1410.0723160000034,0.44620000000000104,20.4162,20.862400000000004,2022-03-03 12:00:00
416.0,2912.0,187.07520000000002,1309.5264000000002,0.4497,20.6095,21.0592,2022-03-04 10:00:00
447.52333333333337,2685.1400000000003,201.25124300000002,1207.507458,0.4497,20.608499999999996,21.0582,2022-03-05 10:00:00
454.5644444444444,4091.0799999999995,203.82669688888865,1834.4402719999978,0.44839999999999947,20.613,21.061399999999995,2022-03-06 08:00:00
570.605,2282.42,258.02758100000074,1032.110324000003,0.45220000000000127,20.8985,21.3507,2022-03-07 10:00:00
279.7,1957.8999999999999,127.65507999999957,893.585559999997,0.4563999999999986,21.008999999999997,21.465399999999995,2022-03-08 10:00:00
489.0116666666666,2934.0699999999997,217.9524998333344,1307.7149990000064,0.4457000000000022,20.7534,21.1991,2022-03-09 08:00:00
3669.9125000000004,14679.650000000001,1675.6820475000063,6702.728190000025,0.45660000000000167,20.717,21.1736,2022-03-10 10:00:00
936.5375,7492.3,414.69880499999846,3317.5904399999877,0.4427999999999983,20.697599999999998,21.1404,2022-03-11 08:00:00
1875.756666666667,11254.54,830.5850519999968,4983.510311999981,0.4427999999999983,20.698000000000004,21.1408,2022-03-12 08:00:00
173.4175,693.67,76.65053500000002,306.6021400000001,0.44200000000000017,20.7043,21.1463,2022-03-13 09:00:00
907.7775000000001,3631.1100000000006,407.8644307500008,1631.4577230000032,0.4493000000000009,20.6711,21.1204,2022-03-14 08:00:00
801.5374999999999,3206.1499999999996,359.649876249999,1438.599504999996,0.44869999999999877,20.6281,21.0768,2022-03-15 08:00:00
1325.8116666666667,7954.87,586.0087566666668,3516.052540000001,0.44200000000000017,20.4885,20.9305,2022-03-16 09:00:00
323.178,1615.8899999999999,145.81791360000003,729.0895680000001,0.45120000000000005,20.3718,20.823,2022-03-17 08:00:00
